PID,Rep,L_Midfoot_X,L_Midfoot_Y,L_Midfoot_Z,R_Midfoot_X,R_Midfoot_Y,R_Midfoot_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,R_KneeAngle_X,R_KneeAngle_Y,R_KneeAngle_Z,L_KneeAngle_X,L_KneeAngle_Y,L_KneeAngle_Z
mP003,8,-0.118783,0.282616,0.019523,-0.101093,-0.282015,0.01634,-0.352718,-0.141841,0.392943,0.019271,-0.29363,0.394978,-0.182978,-0.202503,0.091623,-0.336469,0.122318,0.378636,0.020145,0.267395,0.40483,-0.182562,0.189782,0.092677,5.975051,124.970963,-2.716602,-10.959588,127.673462,0.123077
mP003,9,-0.095769,0.293052,0.020104,-0.088362,-0.305981,0.015897,-0.314779,-0.148471,0.364752,0.046347,-0.322051,0.385203,-0.167914,-0.224659,0.091747,-0.296526,0.116505,0.354178,0.053779,0.271229,0.401337,-0.155404,0.19687,0.092422,6.031474,129.703842,-2.66359,-10.575782,131.477509,-0.777821
mP003,10,-0.07041,0.271327,0.01973,-0.085175,-0.263286,0.016957,-0.34745,-0.130059,0.366753,0.022824,-0.281964,0.400106,-0.165164,-0.180437,0.090665,-0.328584,0.13372,0.355088,0.029427,0.267087,0.419913,-0.14416,0.184552,0.090922,7.597386,127.612305,-4.783504,-10.631393,128.846756,-0.427906
mP006,1,0.027942,0.171103,0.012125,0.025251,-0.201718,0.008167,-0.206731,-0.12636,0.533858,0.158939,-0.148013,0.381188,-0.07498,-0.176815,0.084821,-0.213588,0.149283,0.533038,0.158685,0.147904,0.367259,-0.071012,0.157722,0.081991,3.560155,102.750053,3.294709,-6.952329,103.99469,1.109823
mP006,2,-0.002293,0.160921,0.011903,0.035726,-0.231416,0.010524,-0.232023,-0.154818,0.526459,0.141015,-0.167405,0.396368,-0.066982,-0.19831,0.080503,-0.244594,0.120081,0.518205,0.131691,0.121111,0.363884,-0.100496,0.143227,0.08187,4.42538,101.172264,0.328725,-7.035141,106.156349,1.300651
mP006,3,-0.010635,0.188801,0.014781,0.050963,-0.221742,0.015613,-0.279725,-0.145403,0.509831,0.104042,-0.158402,0.420418,-0.05779,-0.191083,0.077054,-0.298662,0.129131,0.500573,0.089354,0.146969,0.384493,-0.112083,0.165472,0.078155,4.372212,99.608833,0.789065,-7.20057,105.787659,1.870407
mP006,4,0.018554,0.212496,0.015684,0.074792,-0.221007,0.015729,-0.243629,-0.143588,0.543047,0.130141,-0.161082,0.418931,-0.033582,-0.185909,0.07544,-0.27042,0.129598,0.534298,0.10927,0.148319,0.387489,-0.083703,0.189392,0.077829,4.797523,94.115082,-1.060739,-7.109784,99.803795,2.189848
mP006,5,0.054631,0.148418,0.012775,0.107681,-0.210057,0.010651,-0.155487,-0.177406,0.523872,0.216092,-0.193092,0.396317,0.004807,-0.180568,0.081992,-0.180119,0.101426,0.509566,0.193967,0.134951,0.362832,-0.04248,0.124472,0.082404,3.720769,102.402161,2.806788,-6.323507,107.900276,-0.886738
mP006,6,0.006098,0.208491,0.01368,0.056611,-0.219971,0.012817,-0.247895,-0.128165,0.507934,0.129441,-0.180332,0.4141,-0.048266,-0.183343,0.077636,-0.253336,0.148615,0.494462,0.129441,0.165186,0.369918,-0.093767,0.186549,0.079996,3.605204,101.643166,3.498014,-6.923737,108.466469,0.884315
mP006,7,0.05076,0.190596,0.015475,0.080657,-0.23145,0.016938,-0.243654,-0.140319,0.504416,0.136099,-0.194437,0.420953,-0.026415,-0.195153,0.078259,-0.239745,0.136141,0.49488,0.148604,0.131644,0.382273,-0.052439,0.173515,0.078009,3.983775,100.709778,2.245745,-7.042394,106.436691,1.310533
