PID,Rep,L_Midfoot_X,L_Midfoot_Y,L_Midfoot_Z,R_Midfoot_X,R_Midfoot_Y,R_Midfoot_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,R_KneeAngle_X,R_KneeAngle_Y,R_KneeAngle_Z,L_KneeAngle_X,L_KneeAngle_Y,L_KneeAngle_Z
mP003,8,-0.086213,0.263613,0.014648,-0.086169,-0.246697,0.014734,-0.302674,-0.138956,0.385135,0.061355,-0.299274,0.37343,-0.15781,-0.165743,0.098454,-0.297601,0.123393,0.367879,0.045619,0.296015,0.404714,-0.147501,0.177462,0.097467,7.19898,128.970139,-4.150821,-10.105798,130.774155,-1.238031
mP003,9,-0.086449,0.265395,0.016042,-0.086082,-0.248259,0.016024,-0.329831,-0.137229,0.366587,0.037672,-0.289679,0.388057,-0.161176,-0.164625,0.093878,-0.323602,0.125904,0.350628,0.017015,0.296239,0.41626,-0.15318,0.179127,0.094413,7.348975,129.344971,-4.307574,-9.755896,131.25676,-1.670832
mP003,10,-0.08647,0.264234,0.015119,-0.086821,-0.248586,0.01541,-0.315642,-0.137799,0.371674,0.049937,-0.296767,0.379367,-0.159282,-0.164915,0.095681,-0.30678,0.125551,0.356844,0.038872,0.291208,0.408409,-0.148744,0.177002,0.09605,7.106796,129.761978,-3.978098,-10.400297,131.657288,-0.989436
mP006,1,0.063337,0.19004,0.017691,0.055302,-0.23247,0.017124,-0.261588,-0.155201,0.596023,0.09397,-0.194463,0.42572,-0.055137,-0.202664,0.075919,-0.247854,0.119097,0.590782,0.112312,0.145358,0.407469,-0.042377,0.167755,0.074084,4.89703,85.434814,2.058733,-6.740635,87.682434,1.814468
mP006,2,0.063962,0.190528,0.015788,0.056043,-0.232968,0.013453,-0.236629,-0.153384,0.599893,0.114414,-0.182035,0.418368,-0.051542,-0.200748,0.076138,-0.225589,0.120624,0.596975,0.129164,0.141502,0.400908,-0.040374,0.166685,0.074078,4.847574,86.135574,1.470822,-6.749114,87.841965,1.581313
mP006,3,0.063938,0.190261,0.016916,0.05626,-0.231285,0.015104,-0.259038,-0.14937,0.594165,0.098563,-0.166418,0.422176,-0.053555,-0.200393,0.074505,-0.250428,0.122984,0.597856,0.109861,0.133327,0.407803,-0.041867,0.167773,0.073057,4.820605,85.423546,-0.376572,-6.638403,86.154121,3.176963
mP006,4,0.063243,0.190455,0.017131,0.056244,-0.232452,0.015157,-0.266559,-0.15767,0.586101,0.096307,-0.178565,0.424355,-0.053437,-0.201253,0.074646,-0.25267,0.114693,0.582111,0.112322,0.134673,0.406193,-0.04244,0.1683,0.073634,4.808162,86.7668,-0.053552,-6.770008,88.861679,2.534251
mP006,5,0.063298,0.192015,0.017463,0.056135,-0.234235,0.015322,-0.260011,-0.158134,0.577849,0.101451,-0.197176,0.423287,-0.05278,-0.201803,0.075554,-0.253499,0.116617,0.571585,0.115157,0.147756,0.405979,-0.042097,0.168697,0.074036,4.751144,88.605347,1.005308,-6.81779,90.911713,1.714363
mP006,6,0.064098,0.192067,0.016446,0.055802,-0.234497,0.014126,-0.24986,-0.165524,0.583475,0.109003,-0.192277,0.420854,-0.051917,-0.201456,0.076151,-0.247072,0.108835,0.583414,0.11606,0.142059,0.406429,-0.040986,0.167951,0.07326,4.787455,88.311584,-0.321863,-6.768851,88.773476,1.543053
mP006,7,0.064122,0.192232,0.016593,0.056409,-0.234598,0.014214,-0.253163,-0.162759,0.590285,0.103418,-0.198298,0.423417,-0.051735,-0.201365,0.07539,-0.24304,0.111595,0.584393,0.118149,0.145023,0.405568,-0.040948,0.167667,0.073242,4.813254,86.730438,0.519048,-6.767133,88.710472,1.645256
mP006,8,0.063526,0.191584,0.016489,0.056005,-0.234732,0.014426,-0.259739,-0.154548,0.57057,0.10576,-0.190881,0.422006,-0.052002,-0.201232,0.0757,-0.245735,0.118733,0.566755,0.123146,0.136513,0.401901,-0.041473,0.168241,0.073783,4.753778,89.972023,-0.094733,-6.8759,91.98761,2.339231
